"X1","X2","Weight"
-0.76,0.16,44.79424
-0.76,0.2,44.75776
-0.76,0.24,44.70656
-0.76,0.28,44.64064
-0.76,0.32,44.56
-0.76,0.36,44.46464
-0.76,0.4,44.35456
-0.76,0.44,44.22976
-0.76,0.48,44.09024
-0.76,0.52,43.936
-0.76,0.56,43.76704
-0.76,0.6,43.58336
-0.76,0.64,43.38496
-0.76,0.68,43.17184
-0.76,0.72,42.944
-0.76,0.76,42.70144
-0.76,0.8,42.44416
-0.76,0.84,42.17216
-0.76,0.88,41.88544
-0.76,0.92,41.584
-0.76,0.96,41.26784
-0.76,1,40.93696
-0.72,-1,39.70304
-0.72,-0.96,40.096
-0.72,-0.92,40.47424
-0.72,-0.88,40.83776
-0.72,-0.84,41.18656
-0.72,-0.8,41.52064
-0.72,-0.76,41.84
-0.72,-0.72,42.14464
-0.72,-0.68,42.43456
-0.72,-0.64,42.70976
-0.72,-0.6,42.97024
-0.72,-0.56,43.216
-0.72,-0.52,43.44704
-0.72,-0.48,43.66336
-0.72,-0.44,43.86496
-0.72,-0.4,44.05184
-0.72,-0.36,44.224
-0.72,-0.32,44.38144
-0.72,-0.28,44.52416
-0.72,-0.24,44.65216
-0.72,-0.2,44.76544
-0.72,-0.16,44.864
-0.72,-0.12,44.94784
-0.72,-0.08,45.01696
-0.72,-0.04,45.07136
-0.72,0,45.11104
-0.72,0.04,45.136
-0.72,0.08,45.14624
-0.72,0.12,45.14176
-0.72,0.16,45.12256
-0.72,0.2,45.08864
-0.72,0.24,45.04
-0.72,0.28,44.97664
-0.72,0.32,44.89856
-0.72,0.36,44.80576
-0.72,0.4,44.69824
-0.72,0.44,44.576
-0.72,0.48,44.43904
-0.72,0.52,44.28736
-0.72,0.56,44.12096
-0.72,0.6,43.93984
-0.72,0.64,43.744
-0.72,0.68,43.53344
-0.72,0.72,43.30816
-0.72,0.76,43.06816
-0.72,0.8,42.81344
-0.72,0.84,42.544
-0.72,0.88,42.25984
-0.72,0.92,41.96096
-0.72,0.96,41.64736
-0.72,1,41.31904
-0.68,-1,39.94624
-0.68,-0.96,40.34176
-0.68,-0.92,40.72256
-0.68,-0.88,41.08864
-0.68,-0.84,41.44
-0.68,-0.8,41.77664
-0.68,-0.76,42.09856
-0.68,-0.72,42.40576
-0.68,-0.68,42.69824
-0.68,-0.64,42.976
-0.68,-0.6,43.23904
-0.68,-0.56,43.48736
-0.68,-0.52,43.72096
-0.68,-0.48,43.93984
-0.68,-0.44,44.144
-0.68,-0.4,44.33344
-0.68,-0.36,44.50816
-0.68,-0.32,44.66816
-0.68,-0.28,44.81344
-0.68,-0.24,44.944
-0.68,-0.2,45.05984
-0.68,-0.16,45.16096
-0.68,-0.12,45.24736
-0.68,-0.08,45.31904
-0.68,-0.04,45.376
-0.68,0,45.41824
-0.68,0.04,45.44576
-0.68,0.08,45.45856
-0.68,0.12,45.45664
-0.68,0.16,45.44
-0.68,0.2,45.40864
-0.68,0.24,45.36256
-0.68,0.28,45.30176
-0.68,0.32,45.22624
-0.68,0.36,45.136
-0.68,0.4,45.03104
-0.68,0.44,44.91136
-0.68,0.48,44.77696
-0.68,0.52,44.62784
-0.68,0.56,44.464
-0.68,0.6,44.28544
-0.68,0.64,44.09216
-0.68,0.68,43.88416
-0.68,0.72,43.66144
-0.68,0.76,43.424
-0.68,0.8,43.17184
-0.68,0.84,42.90496
